id,title,description,thumbnail,thumbEmoji,tags,difficulty,date,featured,likes,views,comments,instagram,youtube,yt_video,github,components,notes
esp-business-card,ESP32 Business Card,Turn your ESP32 as your personal Business Card.,thumbnails/businesscard.jpg,💳,ESP32|Html,beginner,2026-05-10,FALSE,36,1851,0,https://www.instagram.com/reel/DYKf_LiTWS7/,https://www.youtube.com/shorts/ALVi6QZnP_U,,https://github.com/enginyears/Digital-Business-Card,ESP32,
esp-temp-sensor,ESP32 Builtin Temp Sensor,Measure and display the Chip temprature on the html webpage,thumbnails/tempsensor.jpg,🌡,ESP32|Html,intermediate,2026-05-13,FALSE,79,2104,2,https://www.instagram.com/reel/DYRY_-ltKnD/,,,https://github.com/enginyears/ESP-Builtin-Temp-Sensor,ESP32,
esp-wifi-scsan,Scan all the WiFi signals nearby,thumbnails/WifiScan.jpg,📶,ESP32,beginner,2026-05-16,FALSE,6,251,0,https://www.instagram.com/reel/DYZePHFTb1N/,,,https://github.com/enginyears/ESP32-WiFi-Network-Scanner,ESP32,
